Track_Name Genre Popularity
Señorita canadian_pop 79
boyfriend(with_Social_House) dance_pop 85
Beautiful_People(feat.Khalid) pop 86
I_Don't_Care(with_Justin_Bieber) pop 84
How_Do_You_Sleep pop 90
bad_guy electropop 95
Loco_Contigo(feat.J_Balvin&Tyga dance_pop 86
Someone_You_Loved pop 88
Otro_Trago-Remix panamanian_pop 87
No_Guidance(feat.Drake) dance_pop 82
Piece_Of_Your_Heart pop_house 91
bad_guy(with_Justin_Bieber) electropop 89
If_I_Can't_Have_You canadian_pop 70
Dance_Monkey australian_pop 83
7_rings dance_pop 89
Never_Really_Over dance_pop 89
Otro_Trago panamanian_pop 91
Antisocial(with_Travis_Scott) pop 87
fuck,i'm_lonely(withAnne-Marie)-from_13_Reasons_Why:Season3 dance_pop 78
You_Need_To_Calm_Down dance_pop 90
Shallow dance_pop 87
Talk pop 84
Cross_Me(feat.Chance_the_Rapper&PnB_Rock) pop 82
