Track_Name Genre Popularity
China reggaeton_flow 92
Goodbyes(Feat.Young_Thug) dfw_rap 94
Ransom trap_music 92
Old_Town_Road-Remix country_rap 87
Callaita reggaeton 93
Money_In_The_Grave(Drakeft.Rick_Ross) canadian_hiphop 92
LA_CANCIÓN latin 90
Sunflower-Spider-Man:Into_the_Spider-Verse dfw_rap 91
Lalala canadian_hiphop 88
Truth_Hurts escape_room 91
Panini country_rap 91
No_Me_Conoce-Remix reggaeton_flow 83
Soltera-Remix latin 91
It's_You canadian_hiphop 89
Con_Calma latin 91
QUE_PRETENDES latin 89
Takeaway edm 84
Maluma reggaeton 89
The_London(feat.JCole&Travis_Scott) atl_hiphop 89
Summer_Days(feat.Macklemore&Patrick_Stump_of_Fall_Out_Boy) big_room 89
Sucker boy_band 80
Higher_Love edm 88
Con_Altura r&b_en_espanol 88
One_Thing_Right brostep 88
Te_Robaré latin 88
Happier brostep 88
Call_You_Mine edm 88
